iter	Passed	Remaining
0	2	2868
1	5	2849
2	7	2641
3	10	2548
4	12	2516
5	14	2456
6	16	2406
7	19	2365
8	21	2330
9	23	2328
10	25	2297
11	27	2270
12	30	2304
13	32	2268
14	34	2255
15	36	2238
16	38	2229
17	40	2225
18	42	2206
19	44	2192
20	47	2202
21	49	2208
22	51	2196
23	53	2191
24	55	2177
25	58	2187
26	60	2183
27	63	2188
28	65	2180
29	67	2171
30	69	2168
31	71	2159
32	73	2147
33	75	2140
34	77	2130
35	79	2118
36	81	2110
37	83	2105
38	84	2094
39	87	2091
40	89	2084
41	90	2073
42	92	2069
43	94	2059
44	96	2050
45	98	2045
46	100	2038
47	102	2032
48	104	2030
49	106	2022
50	108	2015
51	110	2010
52	112	2002
53	113	1996
54	115	1990
55	118	1992
56	120	1989
57	122	1988
58	124	1981
59	126	1974
60	128	1971
61	129	1966
62	131	1960
63	134	1961
64	136	1960
65	138	1957
66	140	1957
67	142	1953
68	144	1949
69	146	1948
70	148	1945
71	150	1941
72	152	1940
73	154	1934
74	156	1935
75	159	1933
76	160	1929
77	163	1928
78	165	1924
79	166	1919
80	169	1917
81	171	1916
82	173	1912
83	175	1913
84	177	1911
85	179	1907
86	181	1905
87	183	1901
88	185	1898
89	187	1896
90	189	1892
91	192	1899
92	194	1896
93	196	1894
94	198	1894
95	200	1892
96	202	1888
97	205	1887
98	207	1887
99	209	1886
100	211	1884
101	213	1881
102	216	1882
103	218	1878
104	220	1875
105	222	1876
106	224	1876
107	226	1874
108	229	1872
109	231	1870
110	233	1869
111	235	1867
112	237	1864
113	239	1864
114	242	1863
115	244	1861
116	246	1860
117	248	1857
118	250	1857
119	253	1857
120	255	1855
121	257	1855
122	259	1852
123	261	1849
124	263	1847
125	265	1843
126	267	1842
127	270	1840
128	272	1838
129	274	1836
130	276	1834
131	278	1831
132	281	1831
133	282	1824
134	284	1821
135	286	1820
136	288	1817
137	290	1816
138	293	1816
139	295	1813
140	297	1812
141	299	1809
142	301	1806
143	303	1806
144	305	1800
145	307	1798
146	309	1798
147	311	1796
148	314	1794
149	316	1792
150	317	1785
151	319	1784
152	322	1782
153	324	1780
154	326	1778
155	328	1777
156	330	1774
157	332	1773
158	335	1772
159	338	1775
160	340	1773
161	342	1774
162	345	1773
163	347	1772
164	350	1775
165	353	1774
166	355	1774
167	358	1773
168	360	1772
169	363	1772
170	365	1772
171	368	1774
172	370	1773
173	373	1773
174	375	1770
